Phase,Target,N true,Mean CUP true,Std CUP true,N false,Mean CUP false,Std CUP false
training, TAHV-treated,2850,0.922,0.072,1,0.0,0.0
training, Mock,2820,0.921,0.064,1,0.0,0.0
testing, TAHV-treated,1121,0.835,0.145,80,0.575,0.049
testing, Mock,1150,0.814,0.134,79,0.634,0.094
